Date,Day,Open/Closed,Sales LY,Sales Goal,Sales Actual,Labor Actual $,Labor %,Labor Productivity,Trans TY,Trans LY,OSAT,OSAT Accuracy,OSAT Clean,OSAT Taste,OSAT Temp,OSAT Fast,OSAT Courteous,DT SOS Total,DT SOS Breakfast,DT SOS Lunch,DT SOS Afternoon,DT SOS Dinner,Timers
2026-05-22,Friday,Open,0,40000,40163,7994,19.90,69.69,2401,0,,,,,,,7:25,5:35,6:38,,9:50,
2026-05-25,Monday,Open,0,25000,25203,6755,26.80,47.19,1630,0,69.4,94,86.7,82.6,54.2,79.9,69.6,7:05,6:25,7:58,,6:35,534
2026-06-12,Friday,Open,0,30000,31395,6998,22.29,58.36,1998,0,,,,,,,7:03,4:36,5:40,6:06,11:51,537.9
