Year,Sales Growth Target %,Labor Target %,Food Cost Target %,Net Profit Target %,OSAT Goal,Food Safety Goal,Food Quality Goal,DT SOS Goal (minutes)
2026,0,20,30,10.5,85,100,100,5
2025,5,18,29,12,85,100,100,3.5
